x,Box,Slot,Month,Day,Year,Session,River,Site,Habitat,Egg,Julian_Day,Temperature,Conductivity,Membrane_Diameter_1,Membrane_Diameter_2,Membrane_Diameter_3,Membrane_Diameter_4,Yolk_Diameter_1,Yolk_Diameter_2,Yolk_Diameter_3,Yolk_Diameter_4,Larval_Length,Membrane_Ave,Membrane_SD,Membrane_CV,Embryo_to_Membrane_Ratio,Embryo_Ave,Embryo_SD,Embryo_CV,Egg_Stage,Compact_Diffuse,Pigment,Sticky_Debris,Deflated,Comments,Questionable_Genetics,Common_Name,Lab,Family,Genus,Species,Common_Name_ACGC,Family_ACGC,Genus_ACGC,Species_ACGC,,
2171,2,B08,6,8,2016,5,UMR,DNR,THAL,5,160,24.5,425,1.464286,1.363095,1.447885,1.426996,1.113095,0.9107143,0.9806988,1.074681,0,1.42557,0.04435,0.03111,0.71536,1.0198,0.09155,0.08977,3,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,grunniens,, Can't measure larvae in picture
2152,2,A02,6,19,2016,6,UMR,P17,CHAN,4,171,27.1,363,1.511952,1.559569,1.542344,1.528731,1.057917,1.071495,1.095303,1.190476,0,1.53565,0.02022,0.01317,0.71878,1.1038,0.05982,0.05419,5,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,grunniens,,Changed larval length to 0 - no larvae to measure
2395,4,E07,5,30,2016,4,UMR,UPI,THAL,367,151,23.9,445,1.38584,1.611765,1.65565,1.657989,1.541176,1.282353,1.514132,1.259483,0,1.57781,0.12973,0.08222,0.88685,1.39929,0.14893,0.10643,5,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,grunniens,,Changed larval length to 0 - no larvae to measure
2400,4,E12,5,30,2016,4,UMR,UPI,THAL,367,151,23.9,445,1.811765,1.811765,1.799803,1.863509,1.435294,1.688235,1.347688,1.667945,0,1.82171,0.02843,0.01561,0.8425,1.53479,0.16949,0.11043,5,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,grunniens,,Hard to tell from pic on egg stage. Can't measure length
2172,2,B09,6,20,2016,6,UMR,DNS,THAL,5,172,27.5,398,1.684524,1.744048,1.742533,1.767947,1.130952,1.345238,1.195347,1.246111,0,1.73476,0.03546,0.02044,0.70869,1.22941,0.09046,0.07358,6,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,grunniens,,"Stage is correct, can't measure larvae based on picture"
2198,2,D11,6,29,2016,7,UMR,DNS,BACK,7,180,27.4,421,2.154762,2.047619,1.978377,2.215214,1.02381,0.8452381,0.9596449,0.9849347,0,2.09899,0.10615,0.05057,0.45422,0.95341,0.07679,0.08054,6,C,N,Y,Y,,NO,Emerald Shiner,UWSP,Cyprinidae,Notropis,atherinoides,Emerald Shiner,Cyprinidae,Notropis,atherinoides,,
2281,3,D05,6,29,2016,7,UMR,DNI,BACK,37,180,26.5,440,1.455621,1.680515,1.545546,1.628929,1.029586,1.183432,1.174523,1.041017,0,1.57765,0.09854,0.06246,0.70176,1.10714,0.08316,0.07511,6,C,Y,N,N,,NO,Emerald Shiner,UWSP,Cyprinidae,Notropis,atherinoides,Emerald Shiner,Cyprinidae,Notropis,atherinoides,,Stage is correct - Can't measure based on picture
2310,3,F08,7,9,2016,8,UMR,DNI,THAL,1,191,18,322,1.583333,1.583333,1.628343,1.481653,1.166667,0.9047619,1.061862,1.077496,0,1.56917,0.06208,0.03956,0.67086,1.0527,0.10889,0.10344,6,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,grunniens,,Stage is correct - Can't measure based on picture
2311,3,F09,7,9,2016,8,UMR,DNI,THAL,7,191,27.4,415,1.452381,1.369048,1.433523,1.353588,1.047619,1.130952,1.052276,1.045046,0,1.40214,0.04817,0.03436,0.76239,1.06897,0.04143,0.03875,6,C,Y,N,N,,NO,Freshwater Drum,UWSP,Sciaenidae,Aplodinotus,grunniens,Freshwater Drum,Sciaenidae,Aplodinotus,grunniens,,No picture
2470,5,C10,5,30,2016,4,UMR,DNS,CHAN,3683,151,24.6,442,2.702381,3.488095,2.847703,2.954396,1.428571,1.714286,1.696711,1.650259,0,2.99814,0.34258,0.11426,0.54115,1.62246,0.13205,0.08139,6,C,N,N,Y,,NO,Silver Carp,UWSP,Cyprinidae,Hypophthalmichthys,molitrix,ACGC,ACGC,ACGC,ACGC,,Remove length
