"Dataset","Site","River","Year","Month","Julian_Day","Temperature","Conductivity","Larval_Length","Membrane_Ave","Membrane_SD","Membrane_CV","Yolk_to_Membrane_Ratio","Yolk_Ave","Yolk_SD","Yolk_CV","Egg_Stage","Compact_Diffuse","Pigment","Sticky_Debris","Deflated","Genus","Common_Name","Family_ACGC","Genus_ACGC","Common_Name_ACGC"
"original","UPI","UMR",2014,7,209,24.7,522,0,1.42716625,0.043584913,0.030539479,1,1.42716625,0.043584913,0.030539479,"D","D","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","DNI","UMR",2014,8,227,25.3,440,0,1.24384925,0.029098156,0.023393636,0.820961644,1.021152525,0.09198882,0.09008333,"5","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","IAR",2014,6,172,26.3,473,0,3.766086,0.104391245,0.027718763,0.336372762,1.26680875,0.018744715,0.014796799,"4","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"original","MTH","IAR",2014,6,172,26.3,473,0,2.8397695,0.068534599,0.02413386,0.568239165,1.61366825,0.258499267,0.160193563,"6","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"original","MTH","IAR",2014,8,236,25.5,498,0,1.41855375,0.026286122,0.018530226,0.779973159,1.10643385,0.14031097,0.1268137,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","CON","CDR",2015,8,222,26.3,514,2.048397,2.0806935,0.117446564,0.056445874,0.464261243,0.96598535,0.055192687,0.057136153,"8","C","N","Y","Y","Notropis","River Shiner","Cyprinidae","Notropis","River Shiner"
"original","EDD","DSM",2015,6,161,23.1,654,3.146455,2.993283,0.231379481,0.077299567,0.428603877,1.2829327,0.380328135,0.296452133,"8","C","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","EDD","DSM",2015,6,161,23.1,654,0,2.77713375,0.288209987,0.103779657,0.790695083,2.195866,0.518519676,0.23613448,"4","C","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","MTH","DSM",2015,5,151,19.2,674,0,3.5190085,0.343375911,0.09757746,0.785497961,2.764174,0.365153419,0.132102183,"D","D","N","Y","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","MTH","DSM",2015,5,151,19.2,674,0,3.5683845,0.26986187,0.075625782,0.760443767,2.71355575,0.222634683,0.082045369,"D","D","N","Y","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","MTH","DSM",2015,5,151,19.2,674,0,2.50567325,0.33729694,0.134613298,0.482292933,1.2084685,0.111155829,0.091980742,"3","C","N","Y","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","CLF","DSM",2015,5,151,19.1,634,0,2.88092725,0.164648474,0.057151209,0.472397819,1.36094375,0.053864338,0.039578666,"3","C","N","N","Y","Ctenopharyngodon","Grass Carp","ACGC","ACGC","ACGC"
"original","MTH","DSM",2014,5,147,23.3,494,1.675949,1.64740425,0.028899398,0.017542384,0.685288842,1.12894775,0.093826689,0.08310986,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","CLF","DSM",2015,7,191,23.8,442,0,1.03088525,0.027088694,0.026277119,1.011233307,1.0424655,0.025283279,0.024253349,"4","C","N","Y","Y","Notropis","Emerald Shiner","Cyprinidae","Notropis","Emerald Shiner"
"original","MTH","DSM",2015,7,203,26.1,480,0,3.273908,0.470976749,0.143857662,0.476113333,1.55875125,0.138517938,0.088864684,"6","C","N","N","Y","Macrhybopsis","Silver Chub","Cyprinidae","Macrhybopsis","Silver Chub"
"original","UPD","UMR",2014,7,202,24.7,460,2.243468,1.4790785,0.03386973,0.022899211,0.749264998,1.10822175,0.041213457,0.037188818,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPI","UMR",2014,7,209,24.7,522,0,1.50750025,0.006256656,0.004150351,0.795894561,1.19981125,0.050406947,0.042012398,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","SKK",2014,8,218,25.9,383,0,1.4864495,0.021854913,0.014702762,0.671568795,0.9982531,0.033850357,0.033909594,"6","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPI","UMR",2014,7,209,24.7,522,0,1.46655575,0.019867744,0.013547213,0.824296792,1.2088772,0.173176207,0.143253762,"4","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPE","IAR",2014,5,127,16.1,562,0,1.94517125,0.15091793,0.077585935,1,1.94517125,0.15091793,0.077585935,"D","D","N","Y","N","Ictiobus","Buffalo sp.","Catostomidae","Ictiobus","Buffalo sp."
"original","UPC","SKK",2014,5,147,23.6,531,1.973985,1.45387425,0.030369276,0.020888516,0.717182435,1.042693075,0.092518987,0.088730796,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPE","IAR",2014,5,127,16.1,562,0,1.898296,0.075301292,0.039667835,1,1.898296,0.075301292,0.039667835,"D","D","N","Y","N","Ictiobus","Buffalo sp.","Catostomidae","Ictiobus","Buffalo sp."
"original","UPE","IAR",2014,5,127,16.1,562,0,1.77456525,0.164467601,0.092680503,1,1.77456525,0.164467601,0.092680503,"D","D","N","Y","N","Ictiobus","Buffalo sp.","Catostomidae","Ictiobus","Buffalo sp."
"original","MTH","DSM",2015,5,151,19.2,674,0,3.9997835,0.211857924,0.052967348,0.921204798,3.68461975,0.038339808,0.010405363,"D","D","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","DNI","UMR",2014,8,227,25.3,440,2.071715,1.2220645,0.038066408,0.031149263,0.909911465,1.1119705,0.04211338,0.03787275,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPD","UMR",2014,6,171,26,349,2.193549,1.47144275,0.008171493,0.005553388,0.820281999,1.206998,0.141544383,0.117269774,"7","C","Y","N","N","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","UPE","IAR",2014,5,127,16.1,562,0,1.7051315,0.059652068,0.034983852,1,1.7051315,0.059652068,0.034983852,"D","D","N","Y","N","Ictiobus","Buffalo sp.","Catostomidae","Ictiobus","Buffalo sp."
"original","CON","CDR",2014,6,156,24.1,486,0,1.51134475,0.171629184,0.113560578,0.863678522,1.305316,0.102463494,0.078497079,"6","C","N","Y","Y","Morone","Striped Bass","Moronidae","Morone","Striped Bass"
"original","DNI","UMR",2014,8,219,25.8,489,0,1.2915725,0.071727953,0.055535367,0.90665313,1.17100825,0.055124385,0.047074292,"1","C","Y","N","Y","Aplodinotus","Freshwater Drum","Sciaenidae","Aplodinotus","Freshwater Drum"
"original","MTH","DSM",2015,5,151,19.2,674,0,3.15584775,0.533065494,0.168913565,0.53099393,1.675736,0.225009539,0.134275052,"3","C","N","N","Y","Hypophthalmichthys","Silver Carp","ACGC","ACGC","ACGC"
"original","DNE","IAR",2014,5,127,16.3,557,0,1.8898485,0.024522463,0.012975889,1,1.8898485,0.024522463,0.012975889,"D","D","N","Y","N","Ictiobus","Smallmouth Buffalo","Catostomidae","Ictiobus","Smallmouth Buffalo"
