Egg_ID,Year,Month,Day,Temperature,Conductivity,Deflated,Pigment,Egg_Stage,Compact_Diffuse,Sticky_Debris,Membrane_Ave,Membrane_SD,Membrane_CV,Yolk_Ave,Yolk_SD,Yolk_CV,Yolk_to_Membrane_Ratio,Larval_Length
1,2014,7,27,24.7,522,N,Y,D,D,N,1.42716625,0.043584913,0.030539479,1.42716625,0.043584913,0.030539479,1,0
2,2014,8,15,25.3,440,N,Y,5,C,N,1.24384925,0.029098156,0.023393636,1.021152525,0.09198882,0.09008333,0.820961644,0
3,2014,6,21,26.3,473,Y,N,4,C,N,3.766086,0.104391245,0.027718763,1.26680875,0.018744715,0.014796799,0.336372762,0
4,2014,6,31,26.3,473,Y,N,6,C,N,2.8397695,0.068534599,0.02413386,1.61366825,0.258499267,0.160193563,0.568239165,0
5,2014,8,24,25.5,498,N,Y,6,C,N,1.41855375,0.026286122,0.018530226,1.10643385,0.14031097,0.1268137,0.779973159,0
6,2015,8,10,26.3,514,Y,N,8,C,Y,2.0806935,0.117446564,0.056445874,0.96598535,0.055192687,0.057136153,0.464261243,2.048397
7,2015,6,9,23.1,654,Y,N,8,C,N,2.993283,0.231379481,0.077299567,1.2829327,0.380328135,0.296452133,0.428603877,3.146455
8,2015,6,9,23.1,654,Y,N,4,C,N,2.77713375,0.288209987,0.103779657,2.195866,0.518519676,0.23613448,0.790695083,0
9,2015,5,31,19.2,674,Y,N,D,D,Y,3.5190085,0.343375911,0.09757746,2.764174,0.365153419,0.132102183,0.785497961,0
10,2015,5,20,19.2,674,Y,N,D,D,Y,3.5683845,0.26986187,0.075625782,2.71355575,0.222634683,0.082045369,0.760443767,0
